t,receiver,sender,accepted,range,doppler,t_tx_payload,t_meas,n_range,n_gps,n_nodes,collab_cost,solver_status,receiver_x_post,receiver_y_post,receiver_z_post,traceP_post
41.80000000000019,A03,A04,1,100.23142413084943,-0.00447638767262472,36.73333333333381,36.80018186813253,6,0,8,154.99789400898717,Solve_Succeeded,36.6684905723338,49.9484391780438,69.0,1.3445161383530875
41.83333333333352,A01,A04,1,146.0099960045853,-0.2849088407803072,36.73333333333381,36.83061666262042,6,0,8,576.27087649877,Solve_Succeeded,-105.72224422367648,0.24293214673215463,69.0,1.3451032096943067
47.09999999999989,A02,A01,1,183.8945966924524,-0.4002187713973632,42.00000000000018,42.12246837843261,7,0,9,2237.891214682708,Solve_Succeeded,71.27426735413393,-1.9828833352360011,69.0,1.4521091069582208
47.09999999999989,A03,A01,1,154.06179142812195,-0.08753394820479812,42.00000000000018,42.10269173989111,7,0,9,353.0780437552127,Solve_Succeeded,35.815455589802376,50.524041108394485,69.0,1.4515946866495877
47.09999999999989,A04,A01,1,147.7343640063142,-0.28976746037355244,42.00000000000018,42.09841280163756,7,0,9,2565.1368556269886,Solve_Succeeded,26.42447229658572,-49.7465437032379,69.0,1.4518993416937518
52.26666666666626,A03,A02,1,62.426101575545275,-0.1831452566397976,47.23333333333321,47.274980443728026,8,0,10,880.3836538503074,Solve_Succeeded,32.956588425455976,50.513977097411825,69.0,1.5559802069908868
52.26666666666626,A04,A02,1,62.394608243756664,-0.06353620207420901,47.23333333333321,47.27498386846407,8,0,10,3989.574544819633,Solve_Succeeded,24.004037941862798,-48.09069057557945,69.0,1.5563188094304092
52.333333333332924,A01,A02,1,177.6920368854449,-0.3952764701805104,47.23333333333321,47.35176293260188,7,0,9,752.7875491958041,Solve_Succeeded,-107.87483759099085,0.49897132257789245,69.0,1.5572202418461334
57.4999999999993,A02,A03,1,63.848219011817385,-0.17822540287579552,52.46666666666625,52.50922390076571,8,0,10,6639.275677159668,Solve_Succeeded,62.5070015108653,-1.5436764842925126,69.0,1.6623398590863487
57.53333333333263,A04,A03,1,99.73212693785835,0.005669410225104254,52.46666666666625,52.53317474051308,9,0,11,5736.455338807147,Solve_Succeeded,20.90022168015824,-48.659878792524786,69.0,1.6627589144642634
57.56666666666596,A01,A03,1,150.60389296717014,-0.0922331891849591,52.46666666666625,52.56710516245684,8,0,10,1444.2696829712265,Solve_Succeeded,-110.10287735852152,-0.36815369518652746,69.0,1.6629417246933058
62.73333333333233,A02,A04,1,65.5855345978407,-0.0705437216261132,57.699999999999285,57.74372189922632,9,0,10,3571.534975698517,Solve_Succeeded,60.45546845467028,-1.1213200129895227,69.0,1.7681303285301742
62.766666666665664,A03,A04,1,100.32537572267947,0.0010107106917001119,57.699999999999285,57.766923122365256,9,0,10,966.741168131523,Solve_Succeeded,28.52566530918712,51.1760635654447,69.0,1.7681177572556015
62.799999999998995,A01,A04,1,140.01278013956968,-0.27950162366293374,57.699999999999285,57.79328144171265,9,0,11,1737.963827991228,Solve_Succeeded,-111.36483874314463,-0.6050639777811992,69.0,1.7686637656432482
68.06666666666537,A02,A01,1,175.36203517034156,-0.38371101141374797,62.96666666666565,63.08360067382103,10,0,11,6615.818828307638,Solve_Succeeded,57.233409494166224,-1.0056894005332067,69.0,1.8759407370047296
68.06666666666537,A03,A01,1,152.18307064000558,-0.08637243375935061,62.96666666666565,63.06813549897865,10,0,10,853.658986021112,Solve_Succeeded,27.809872810141222,51.843688949416574,69.0,1.8751976494749572
68.06666666666537,A04,A01,1,141.56517155789692,-0.2754518628684226,62.96666666666565,63.061109220741756,10,0,10,4433.6031241057535,Solve_Succeeded,15.090888777613955,-49.20833022298684,69.0,1.8756370278792278
73.23333333333174,A03,A02,1,58.95372278341837,-0.1765763759762749,68.1999999999987,68.23930692943054,11,0,11,1152.3204759721054,Solve_Succeeded,26.082066337976823,50.18460311162672,69.0,1.9795819543151054
73.23333333333174,A04,A02,1,61.23354423758186,-0.05683603359387398,68.1999999999987,68.2408017033576,11,0,10,3385.2578943998033,Solve_Succeeded,13.670670298095631,-48.90371082071453,69.0,1.9800581614480703
73.2999999999984,A01,A02,1,169.28679441244861,-0.40110935309421464,68.1999999999987,68.3128836167911,10,0,10,986.5394738562501,Solve_Succeeded,-113.95178162870755,-0.1550168804026624,69.0,1.980781717088949
78.46666666666478,A02,A03,1,60.255546390730366,-0.16477920812474472,73.43333333333173,73.47337411679257,11,0,10,7855.229901983254,Solve_Succeeded,48.86579380578086,-3.1037142989061484,69.0,2.0861756520509087
78.49999999999811,A04,A03,1,99.95213199952906,0.011074782228715892,73.43333333333173,73.49991527271204,12,0,11,5367.627030114991,Solve_Succeeded,9.696181288593996,-48.92187920180202,69.0,2.086499438187471
78.53333333333144,A01,A03,1,148.92385758104214,-0.08705891626273601,73.43333333333173,73.5325706257979,11,0,10,797.5117190752844,Solve_Succeeded,-115.33649574861025,0.9031510843692347,69.0,2.0865034447217807
83.73333333333115,A02,A04,1,64.23780177227576,-0.06162299589766709,78.6999999999981,78.74283778519533,12,0,10,4152.875139980907,Solve_Succeeded,47.26355372327907,-1.5556759479933642,69.0,2.192637589458452
83.76666666666448,A03,A04,1,100.83721346496004,0.010602982061658535,78.6999999999981,78.7671431783087,12,0,10,1290.8003351371576,Solve_Succeeded,22.723229463740573,50.56406031840653,69.0,2.192393449638154
83.79999999999781,A01,A04,1,133.9334937058811,-0.2760530185053784,78.6999999999981,78.7893162551959,12,0,11,967.0917423561098,Solve_Succeeded,-116.13072897910632,0.5214238301604796,69.0,2.192898935131115
89.06666666666418,A02,A01,1,167.13193985126415,-0.4021790829065911,83.96666666666447,84.07805109924819,13,0,11,6913.482011555235,Solve_Succeeded,44.361821829558835,-2.07897208638863,69.0,2.300449553321134
89.06666666666418,A03,A01,1,150.28033315534407,-0.08954840294058528,83.96666666666447,84.066907511817,13,0,10,1468.592473126589,Solve_Succeeded,21.29692013239124,50.61138338102671,69.0,2.2994724445020784
89.06666666666418,A04,A01,1,135.56909489099917,-0.2793864159877739,83.96666666666447,84.05710267573117,13,0,10,5108.0240518730425,Solve_Succeeded,2.3496946810176014,-48.23902579701256,69.0,2.3000503241958232
94.19999999999722,A03,A02,1,55.79573790094003,-0.1407849990016625,89.16666666666417,89.20393997961129,14,0,11,1548.0421158630595,Solve_Succeeded,20.341532271125814,50.5758261108942,69.0,2.403184612905898
94.19999999999722,A04,A02,1,59.982651085241486,-0.052913480055641414,89.16666666666417,89.20666730807648,14,0,10,4441.56266518473,Solve_Succeeded,-0.3441227549629637,-47.834879501243904,69.0,2.403795753116438
94.26666666666388,A01,A02,1,160.93843271309262,-0.3984059547273233,89.16666666666417,89.27400988725738,13,0,10,1056.2310016219785,Solve_Succeeded,-118.47448535958468,-1.6603798855295775,69.0,2.4043421529075366
99.46666666666358,A02,A03,1,56.800259341184606,-0.14126440935884077,94.43333333333054,94.4711849593828,14,0,10,7972.239942290143,Solve_Succeeded,36.353795924133294,-1.71543113787522,69.0,2.5106826094038563
99.49999999999692,A04,A03,1,100.19140317051982,0.021360289218014725,94.43333333333054,94.50009078590776,15,0,11,5835.886412750778,Solve_Succeeded,-3.1927462690995365,-47.3479976652496,69.0,2.5109092618942173
99.53333333333025,A01,A03,1,147.02098247169872,-0.08122527226492172,94.43333333333054,94.5313128089275,14,0,10,469.1576913815464,Solve_Succeeded,-118.74770588604208,-0.9099089875798877,69.0,2.510737631434454
104.69999999999662,A02,A04,1,62.86761894997111,-0.05745354117119723,99.66666666666357,99.70861951987816,15,0,10,4165.101567526143,Solve_Succeeded,32.93382140229265,0.056720922047238886,69.0,2.616472673032071
104.73333333332995,A01,A04,1,128.11780926472818,-0.279538725155275,99.66666666666357,99.75206283614213,15,0,11,952.357041477989,Solve_Succeeded,-120.89733605622762,0.7278086233479708,69.0,2.61578636963761
104.73333333332995,A03,A04,1,101.14042546394882,0.02321769624424779,99.66666666666357,99.73412671085494,15,0,10,1524.6823235586908,Solve_Succeeded,16.02904666371316,51.02078910534367,69.0,2.615994981389732
109.99999999999632,A04,A01,1,129.74502449944922,-0.28890043573310087,104.93333333332994,105.01981994569054,16,0,10,4398.363805641542,Solve_Succeeded,-8.570906604123506,-48.5578649891207,69.0,2.7231156573479467
110.03333333332965,A02,A01,1,158.66163756769714,-0.40029768195209947,104.93333333332994,105.03911852306665,16,0,11,6357.467935222737,Solve_Succeeded,30.874212060911535,-1.2468797363446404,69.0,2.724284564115991
110.03333333332965,A03,A01,1,148.70768494585172,-0.09368712758450368,104.93333333332994,105.03234765484194,16,0,10,1475.7381831735925,Solve_Succeeded,14.24482031255657,51.09409229600724,69.0,2.7230743770214056
115.19999999999602,A03,A02,1,53.40057655346247,-0.10349083581207578,110.16666666666298,110.20229297181639,17,0,11,1922.2262181992187,Solve_Succeeded,12.445439616486576,50.19264697934812,69.0,2.8274605843226155
115.19999999999602,A04,A02,1,58.80533082319493,-0.05766496567525417,110.16666666666298,110.20589483356909,17,0,10,4266.625920518047,Solve_Succeeded,-10.925153582627615,-48.484663154588404,69.0,2.828208552307104
115.26666666666269,A01,A02,1,152.67908494379608,-0.38324755563191626,110.16666666666298,110.26843118019495,16,0,10,926.0318491305508,Solve_Succeeded,-124.25038903390548,1.7341125108210094,69.0,2.828577235453423
120.43333333332906,A02,A03,1,54.13123567990313,-0.11497335870070592,115.39999999999601,115.43601934037054,17,0,10,8643.411259461129,Solve_Succeeded,20.494298602455103,-0.9509470116072368,69.0,2.9345156443040095
120.46666666666239,A04,A03,1,100.6977985512752,0.03333708478545226,115.39999999999601,115.46705819211518,18,0,11,6594.954926441558,Solve_Succeeded,-15.15607168598065,-47.26439003793656,69.0,2.9346509416127753
120.49999999999572,A01,A03,1,145.11691036161133,-0.08433242046503674,115.39999999999601,115.49675722727534,17,0,10,444.32726620222934,Solve_Succeeded,-124.8293606081664,1.023997275604734,69.0,2.9342991452376133
125.6666666666621,A02,A04,1,61.74646227800021,-0.06001351404747018,120.63333333332905,120.67449603680285,18,0,10,4154.701182405627,Solve_Succeeded,18.262322707817372,-0.6172305691840101,69.0,3.040306280008627
125.69999999999543,A01,A04,1,122.23434706561295,-0.28023475529727154,120.63333333332905,120.71475894633704,18,0,11,852.4293658874458,Solve_Succeeded,-127.6349575979872,0.30123476564281215,69.0,3.0393476340281254
125.69999999999543,A03,A04,1,101.79332464476511,0.03140604330848808,120.63333333332905,120.70123741160448,18,0,10,2234.047971156508,Solve_Succeeded,6.39237706685788,50.855436151162955,69.0,3.0395979405722025
130.9666666666618,A04,A01,1,123.72727651798684,-0.2929263811974127,125.89999999999542,125.98249878101652,19,0,10,4610.196392693667,Solve_Succeeded,-20.08707494801472,-48.90549838677931,69.0,3.1468587555941703
130.99999999999514,A02,A01,1,150.42213140729885,-0.403910919097206,125.89999999999542,126.00025912641786,19,0,11,6628.972149431216,Solve_Succeeded,15.669893145720101,-0.7320854662632482,69.0,3.148117771911248
130.99999999999514,A03,A01,1,146.68272332643355,-0.0965509502045966,125.89999999999542,125.99776347773447,19,0,10,763.0595415690715,Solve_Succeeded,7.74327948337513,51.930374501113114,69.0,3.146677267596653
136.1666666666615,A03,A02,1,51.692402824136515,-0.07511715004425426,131.13333333332847,131.1677635740655,20,0,11,1170.802618936959,Solve_Succeeded,5.869359029388413,51.57007210959024,69.0,3.25106341873631
